"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"up","GO:2000280","regulation of root development","4/80","27/7103",0.148148148148148,13.1537037037037,6.7525935200854,0.000215029076880402,0.00854251878152144,0.00763404665288319,"AT1G66700/AT2G47520/AT4G28460/AT4G37290",4
"up","GO:0042542","response to hydrogen peroxide","5/80","51/7103",0.0980392156862745,8.7046568627451,5.89326853937605,0.000250202866843644,0.00911155440088938,0.00814256698236773,"AT1G05680/AT1G75270/AT3G10930/AT5G24110/AT5G24640",5
"up","GO:0009751","response to salicylic acid","7/80","123/7103",0.0569105691056911,5.05294715447154,4.8391577391952,0.000438827815754935,0.0124405048563759,0.0111174931993628,"AT1G66700/AT1G75270/AT1G76680/AT2G03760/AT5G05190/AT5G08790/AT5G24110",7
"up","GO:0098754","detoxification","6/80","88/7103",0.0681818181818182,6.05369318181818,5.0910851792146,0.000439205425164853,0.0124405048563759,0.0111174931993628,"AT1G17170/AT1G17180/AT1G75270/AT2G04040/AT2G36800/AT5G62480",6
"up","GO:0042343","indole glucosinolate metabolic process","3/80","15/7103",0.2,17.7575,6.93373112136772,0.000567833808489368,0.0124405048563759,0.0111174931993628,"AT1G21100/AT1G21120/AT5G57220",3
"up","GO:0051552","flavone metabolic process","3/80","15/7103",0.2,17.7575,6.93373112136772,0.000567833808489368,0.0124405048563759,0.0111174931993628,"AT2G15490/AT2G36790/AT4G34135",3
"up","GO:0051553","flavone biosynthetic process","3/80","15/7103",0.2,17.7575,6.93373112136772,0.000567833808489368,0.0124405048563759,0.0111174931993628,"AT2G15490/AT2G36790/AT4G34135",3
"up","GO:0051554","flavonol metabolic process","3/80","15/7103",0.2,17.7575,6.93373112136772,0.000567833808489368,0.0124405048563759,0.0111174931993628,"AT2G15490/AT2G36790/AT4G34135",3
"up","GO:0051555","flavonol biosynthetic process","3/80","15/7103",0.2,17.7575,6.93373112136772,0.000567833808489368,0.0124405048563759,0.0111174931993628,"AT2G15490/AT2G36790/AT4G34135",3
"up","GO:0006979","response to oxidative stress","10/80","257/7103",0.0389105058365759,3.45476653696498,4.2779164857697,0.00056935948999432,0.0124405048563759,0.0111174931993628,"AT1G05680/AT1G32870/AT1G75270/AT3G10930/AT3G25250/AT4G02380/AT4G17490/AT5G24110/AT5G24640/AT5G59820",10
"up","GO:0006790","sulfur compound metabolic process","9/80","215/7103",0.0418604651162791,3.71668604651163,4.31704033258171,0.000647509274907027,0.0134743596730653,0.0120414005509026,"AT1G17170/AT1G17180/AT1G21100/AT1G21120/AT1G75270/AT2G03760/AT4G21990/AT5G57220/AT5G62480",9
"up","GO:0009636","response to toxic substance","6/80","100/7103",0.06,5.32725,4.65097405334168,0.000868111832089179,0.0172438577555896,0.0154100234308653,"AT1G17170/AT1G17180/AT1G75270/AT2G04040/AT2G36800/AT5G62480",6
"up","GO:0006749","glutathione metabolic process","4/80","40/7103",0.1,8.87875,5.33294010321708,0.00100211413171626,0.0190401685026089,0.0170153017330312,"AT1G17170/AT1G17180/AT1G75270/AT5G62480",4
"up","GO:0009611","response to wounding","7/80","164/7103",0.0426829268292683,3.78971036585366,3.85750581764901,0.00237624136163269,0.0432673947930619,0.0386660326827074,"AT1G21110/AT1G21120/AT1G76680/AT3G25250/AT3G54150/AT5G08790/AT5G59820",7
"down","GO:0009620","response to fungus","7/19","208/7103",0.0336538461538462,12.5812246963563,8.77903697586701,6.23825272513564e-07,6.73731294314649e-05,4.26827818035596e-05,"AT2G14560/AT2G38240/AT2G45220/AT3G09940/AT3G55970/AT4G10500/AT5G24530",7
"down","GO:0009753","response to jasmonic acid","4/19","144/7103",0.0277777777777778,10.3845029239766,5.89178594362671,0.000495454908274489,0.0192878341764386,0.0122193881234747,"AT2G38240/AT3G09940/AT3G55970/AT5G07010",4
"down","GO:0070542","response to fatty acid","4/19","147/7103",0.0272108843537415,10.172574292875,5.81966487967231,0.000535773171567739,0.0192878341764386,0.0122193881234747,"AT2G38240/AT3G09940/AT3G55970/AT5G07010",4
"down","GO:1900150","regulation of defense response to fungus","2/19","22/7103",0.0909090909090909,33.9856459330144,8.02447991525991,0.00151689048878222,0.0312343033063007,0.0197878139854732,"AT2G38240/AT3G55970",2
"down","GO:0002832","negative regulation of response to biotic stimulus","2/19","28/7103",0.0714285714285714,26.703007518797,7.05712150726289,0.00245856022149441,0.0312343033063007,0.0197878139854732,"AT2G38240/AT3G55970",2
"down","GO:0009696","salicylic acid metabolic process","2/19","28/7103",0.0714285714285714,26.703007518797,7.05712150726289,0.00245856022149441,0.0312343033063007,0.0197878139854732,"AT4G10500/AT5G24530",2
"down","GO:0032102","negative regulation of response to external stimulus","2/19","28/7103",0.0714285714285714,26.703007518797,7.05712150726289,0.00245856022149441,0.0312343033063007,0.0197878139854732,"AT2G38240/AT3G55970",2
"down","GO:0002213","defense response to insect","2/19","31/7103",0.0645161290322581,24.1188455008489,6.68041929599499,0.0030099987857378,0.0312343033063007,0.0197878139854732,"AT2G38240/AT3G55970",2
"down","GO:2000022","regulation of jasmonic acid mediated signaling pathway","2/19","31/7103",0.0645161290322581,24.1188455008489,6.68041929599499,0.0030099987857378,0.0312343033063007,0.0197878139854732,"AT2G38240/AT3G55970",2
"down","GO:0072329","monocarboxylic acid catabolic process","2/19","34/7103",0.0588235294117647,21.9907120743034,6.35353603496421,0.00361410827426499,0.0312343033063007,0.0197878139854732,"AT4G10500/AT5G24530",2
"down","GO:0009751","response to salicylic acid","3/19","123/7103",0.024390243902439,9.1181001283697,4.70334792287667,0.00400952956734205,0.0312343033063007,0.0197878139854732,"AT2G14560/AT4G10500/AT5G24530",3
"down","GO:0002229","defense response to oomycetes","2/19","36/7103",0.0555555555555556,20.7690058479532,6.15809511899931,0.00404571988723736,0.0312343033063007,0.0197878139854732,"AT4G10500/AT5G24530",2
"down","GO:0018958","phenol-containing compound metabolic process","2/19","36/7103",0.0555555555555556,20.7690058479532,6.15809511899931,0.00404571988723736,0.0312343033063007,0.0197878139854732,"AT4G10500/AT5G24530",2
"down","GO:0032787","monocarboxylic acid metabolic process","4/19","254/7103",0.015748031496063,5.88727724823871,4.1076942496208,0.00404889116933528,0.0312343033063007,0.0197878139854732,"AT1G43800/AT4G10500/AT5G07010/AT5G24530",4
"down","GO:0009813","flavonoid biosynthetic process","2/19","41/7103",0.0487804878048781,18.2362002567394,5.731884903899,0.00522411494684226,0.0352627758911853,0.022339965233207,"AT1G75040/AT5G24530",2
"down","GO:0042537","benzene-containing compound metabolic process","2/19","41/7103",0.0487804878048781,18.2362002567394,5.731884903899,0.00522411494684226,0.0352627758911853,0.022339965233207,"AT4G10500/AT5G24530",2
"down","GO:0031348","negative regulation of defense response","2/19","45/7103",0.0444444444444444,16.6152046783626,5.44177986327108,0.00626715159964857,0.0389396776538809,0.0246693864278972,"AT2G38240/AT3G55970",2
"down","GO:0009812","flavonoid metabolic process","2/19","47/7103",0.0425531914893617,15.9081746920493,5.31033567268363,0.00682148900823417,0.0389396776538809,0.0246693864278972,"AT1G75040/AT5G24530",2
"down","GO:0050832","defense response to fungus","3/19","149/7103",0.0201342281879195,7.52702225362063,4.16983377410394,0.00685049884651608,0.0389396776538809,0.0246693864278972,"AT2G14560/AT2G38240/AT3G55970",3
"down","GO:0009627","systemic acquired resistance","2/19","50/7103",0.04,14.9536842105263,5.12760790701823,0.00769339141123172,0.0415443136206513,0.0263194969331611,"AT1G75040/AT5G10760",2
